"BehaviorSpace results (NetLogo 3D 6.1.0)"
"ABM-working-10-stochastic.nlogo3D"
"NinaExploPerturbSigInitStd"
"01/25/2022 12:05:51:222 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","gui-sig-init-std","[step]","getSeed","getViability","getRemainingCellRatio"
"3","0","83","436237","74.85012846131886","87.575"
"1","0","85","132753","77.2218952324897","84.95"
"2","0","82","326117","76.79288582903041","87.15"
"4","10","83","875930","73.44104308390023","88.2"
"3","0","84","436237","75.16546762589928","86.875"
"1","0","86","132753","77.26328287325616","84.22500000000001"
"2","0","83","326117","77.16102919919052","86.47500000000001"
"4","10","84","875930","73.6361039702942","87.52499999999999"
"3","0","85","436237","75.1740139211137","86.2"
"1","0","87","132753","77.43865948533812","83.55"
"2","0","84","326117","77.32439522005247","85.775"
"3","0","86","436237","75.39496781743709","85.45"
"4","10","85","875930","73.83419689119171","86.85000000000001"
"1","0","88","132753","77.71739130434783","82.8"
"2","0","85","326117","77.6536312849162","85.02499999999999"
"3","0","87","436237","75.4127358490566","84.8"
"4","10","86","875930","74.22441287329661","86.225"
"1","0","89","132753","78.24229478181263","81.925"
"2","0","86","326117","77.96559905100831","84.3"
"3","0","88","436237","75.69815805109923","84.15"
"4","10","87","875930","74.62730195849167","85.52499999999999"
"1","0","90","132753","78.71027460660291","81.025"
"2","0","87","326117","78.4366576819407","83.475"
"3","0","89","436237","75.71043972479808","83.575"
"4","10","88","875930","74.79363207547169","84.8"
"1","0","91","132753","79.35765512940442","80.175"
"2","0","88","326117","78.6577992744861","82.69999999999999"
"3","0","90","436237","75.91922845087402","82.95"
"4","10","89","875930","75.25312686122692","83.95"
"1","0","92","132753","79.88650693568727","79.3"
"3","0","91","436237","76.17888652266504","82.175"
"2","0","89","326117","79.21760391198043","81.8"
"4","10","90","875930","75.47339945897204","83.175"
"1","0","93","132753","80.33779477374124","78.45"
"3","0","92","436237","76.46517336606321","81.475"
"2","0","90","326117","79.67202970297029","80.80000000000001"
"1","0","94","132753","80.81264108352144","77.525"
"4","10","91","875930","75.95628415300546","82.35"
"2","0","91","326117","80.2128991859737","79.85"
"3","0","93","436237","76.85643564356435","80.80000000000001"
"4","10","92","875930","76.48864333947208","81.45"
"1","0","95","132753","81.29074315514994","76.7"
"2","0","92","326117","80.79239302694137","78.875"
"3","0","94","436237","77.42036227357902","80.05"
"1","0","96","132753","81.66226912928761","75.8"
"4","10","93","875930","76.90875232774674","80.55"
"2","0","93","326117","81.51476251604622","77.9"
"3","0","95","436237","77.62369996848409","79.325"
"1","0","97","132753","82.39812959251836","74.85000000000001"
"4","10","94","875930","77.4780426599749","79.7"
"2","0","94","326117","81.90074602659747","77.075"
"3","0","96","436237","78.1031190324634","78.55"
"1","0","98","132753","83.10193024043345","73.825"
"4","10","95","875930","78.13790911979663","78.675"
"2","0","95","326117","82.02689406362742","76.225"
"3","0","97","436237","78.6220218931101","77.64999999999999"
"1","0","99","132753","83.85989010989012","72.8"
"4","10","96","875930","78.77130910260533","77.725"
"2","0","96","326117","82.69677847891066","75.275"
"3","0","98","436237","78.84803123983079","76.825"
"1","0","100","132753","84.56445993031359","71.75"
"2","0","97","326117","83.38378742011436","74.325"
"4","10","97","875930","79.46631955743572","76.825"
"3","0","99","436237","79.15706289101087","75.925"
"1","0","101","132753","85.00881834215167","70.875"
"3","0","100","436237","79.58707958707959","75.075"
"2","0","98","326117","83.95229982964226","73.375"
"4","10","98","875930","79.90131578947368","76"
"1","0","102","132753","85.70918185066095","69.975"
"4","10","99","875930","80.16638935108153","75.125"
"3","0","101","436237","80.12798922196026","74.225"
"2","0","99","326117","84.46434722700654","72.575"
"1","0","103","132753","86.50506512301013","69.1"
"4","10","100","875930","80.8080808080808","74.25"
"2","0","100","326117","85.2407536636427","71.65"
"1","0","104","132753","86.93743139407245","68.325"
"3","0","102","436237","80.69577080491132","73.3"
"4","10","101","875930","81.41200545702591","73.3"
"1","0","105","132753","87.61094674556213","67.60000000000001"
"3","0","103","436237","81.23055651572761","72.32499999999999"
"2","0","101","326117","86.00212089077412","70.72500000000001"
"4","10","102","875930","82.01587849499482","72.425"
"3","0","104","436237","81.90743338008414","71.3"
"2","0","102","326117","86.5975696926376","69.95"
"1","0","106","132753","88.12103100485619","66.925"
"4","10","103","875930","82.70440251572327","71.55"
"3","0","105","436237","82.6923076923077","70.19999999999999"
"1","0","107","132753","88.39487565938207","66.35"
"2","0","103","326117","87.35965229989134","69.025"
"4","10","104","875930","83.27439886845828","70.7"
"3","0","106","436237","83.38750451426507","69.22500000000001"
"1","0","108","132753","88.90577507598785","65.8"
"2","0","104","326117","88.08214154748808","68.175"
"3","0","107","436237","84.2993396918562","68.15"
"4","10","105","875930","83.93559928443649","69.875"
"1","0","109","132753","89.45956305097738","65.225"
"2","0","105","326117","88.64564007421151","67.375"
"3","0","108","436237","85.16728624535315","67.25"
"2","0","106","326117","89.07247465264739","66.57499999999999"
"4","10","106","875930","84.4122965641953","69.125"
"1","0","110","132753","89.96124031007751","64.5"
"3","0","109","436237","85.88102409638554","66.4"
"4","10","107","875930","85.05116959064327","68.4"
"2","0","107","326117","89.58570885594831","65.77499999999999"
"1","0","111","132753","90.74872598980792","63.775000000000006"
"3","0","110","436237","86.48339060710195","65.47500000000001"
"4","10","108","875930","85.40280857354028","67.65"
"2","0","108","326117","90.43578866178173","64.825"
"1","0","112","132753","91.32329635499208","63.1"
"3","0","111","436237","87.141750580945","64.55"
"4","10","109","875930","86.39940052454102","66.725"
"1","0","113","132753","92.0673076923077","62.4"
"2","0","109","326117","91.06515801794772","64.075"
"3","0","112","436237","88.22834645669292","63.5"
"4","10","110","875930","87.15422508525957","65.975"
"3","0","113","436237","88.74251497005989","62.625"
"2","0","110","326117","91.58435401027262","63.275000000000006"
"1","0","114","132753","92.34817813765183","61.75000000000001"
"4","10","111","875930","87.8544061302682","65.25"
"3","0","114","436237","89.40129449838187","61.8"
"1","0","115","132753","92.8045789043336","61.150000000000006"
"2","0","111","326117","92.1388667198723","62.64999999999999"
"4","10","112","875930","88.3197516492045","64.425"
"1","0","116","132753","92.95136026380874","60.650000000000006"
"3","0","115","436237","89.86099754701553","61.150000000000006"
"2","0","112","326117","92.61203068227695","61.925"
"4","10","113","875930","89.03301886792453","63.6"
"3","0","116","436237","90.51367025683513","60.35"
"1","0","117","132753","93.54972950478569","60.075"
"2","0","113","326117","93.03745928338762","61.4"
"3","0","117","436237","91.21848739495798","59.5"
"4","10","114","875930","89.82511923688395","62.9"
"1","0","118","132753","93.46186085498742","59.650000000000006"
"2","0","114","326117","93.26488706365504","60.875"
"3","0","118","436237","91.86888037462751","58.72500000000001"
"1","0","119","132753","93.75","59.199999999999996"
"4","10","115","875930","90.55466237942123","62.2"
"2","0","115","326117","93.85382059800665","60.199999999999996"
"3","0","119","436237","92.39036973344797","58.15"
"1","0","120","132753","93.86973180076629","58.72500000000001"
"4","10","116","875930","90.82419813235892","61.575"
"2","0","116","326117","94.13980745081624","59.724999999999994"
"3","0","120","436237","92.67129228100607","57.65"
"1","0","121","132753","94.4563816072196","58.175"
"4","10","117","875930","91.48848684210526","60.8"
"2","0","117","326117","94.55466441536512","59.22500000000001"
"3","0","121","436237","93.37719298245614","56.99999999999999"
"1","0","122","132753","94.54309224772629","57.725"
"4","10","118","875930","91.82572614107883","60.25"
"2","0","118","326117","94.64740866610025","58.85"
"3","0","122","436237","93.93536963258079","56.474999999999994"
"1","0","123","132753","94.76439790575915","57.3"
"4","10","119","875930","92.33668341708542","59.699999999999996"
"2","0","119","326117","95.10309278350515","58.199999999999996"
"3","0","123","436237","94.40966010733453","55.900000000000006"
"1","0","124","132753","94.7437582128778","57.074999999999996"
"4","10","120","875930","92.76649746192894","59.099999999999994"
"2","0","120","326117","95.78810247503256","57.574999999999996"
"3","0","124","436237","94.6372239747634","55.474999999999994"
"1","0","125","132753","94.57910973997356","56.725"
"4","10","121","875930","93.04310712761416","58.575"
"2","0","121","326117","96.06643356643356","57.199999999999996"
"1","0","126","132753","94.77413640389726","56.45"
"3","0","125","436237","95.39443684450525","54.825"
"4","10","122","875930","92.96137339055794","58.25"
"3","0","126","436237","96.17687701520038","54.275"
"1","0","127","132753","95.23172905525847","56.10000000000001"
"2","0","122","326117","96.21478873239437","56.8"
"4","10","123","875930","93.14063848144953","57.95"
"1","0","128","132753","95.02910882221227","55.825"
"3","0","127","436237","96.56771799628943","53.900000000000006"
"2","0","123","326117","96.53794940079894","56.325"
"4","10","124","875930","93.53579175704989","57.62500000000001"
"3","0","128","436237","96.96686887540831","53.574999999999996"
"1","0","129","132753","95.3971119133574","55.400000000000006"
"2","0","124","326117","97.05093833780161","55.95"
"4","10","125","875930","93.58358795285902","57.275"
"3","0","129","436237","96.81647940074907","53.400000000000006"
"1","0","130","132753","95.55555555555556","55.125"
"2","0","125","326117","96.8623935454953","55.775"
"3","0","130","436237","96.47556390977444","53.2"
"2","0","126","326117","97.28874830546769","55.325"
"4","10","126","875930","93.88473383194017","56.825"
"1","0","131","132753","95.16643866849066","54.825"
"3","0","131","436237","96.78790741615494","52.925"
"4","10","127","875930","94.23758865248227","56.39999999999999"
"2","0","127","326117","97.2297910990009","55.05"
"1","0","132","132753","95.13314967860423","54.449999999999996"
"3","0","132","436237","96.7741935483871","52.7"
"2","0","128","326117","97.26152441807395","54.775"
"4","10","128","875930","94.55842997323818","56.05"
"1","0","133","132753","95.4209065679926","54.05"
"3","0","133","436237","96.94364851957975","52.349999999999994"
"1","0","134","132753","95.48837209302326","53.75"
"4","10","129","875930","94.95722647456101","55.525000000000006"
"2","0","129","326117","97.28984841525035","54.425000000000004"
"3","0","134","436237","96.92455550216242","52.025"
"1","0","135","132753","95.18691588785046","53.5"
"4","10","130","875930","94.97510185604345","55.225"
"2","0","130","326117","97.1824480369515","54.125"
"3","0","135","436237","96.9579913085466","51.775000000000006"
"4","10","131","875930","95.2054794520548","54.75"
"1","0","136","132753","95.34555712270803","53.175"
"2","0","131","326117","97.44423791821562","53.800000000000004"
"4","10","132","875930","95.70637119113573","54.15"
"1","0","137","132753","95.5040227165168","52.825"
"3","0","136","436237","97.04170708050437","51.55"
"2","0","132","326117","97.0601959869342","53.574999999999996"
"4","10","133","875930","95.86046511627907","53.75"
"1","0","138","132753","95.90281086231539","52.47500000000001"
"3","0","137","436237","97.02873843156357","51.324999999999996"
"2","0","133","326117","97.13211095439587","53.175"
"4","10","134","875930","96.1592505854801","53.37499999999999"
"1","0","139","132753","96.16490891658677","52.15"
"3","0","138","436237","97.06314243759178","51.075"
"4","10","135","875930","96.28060263653484","53.1"
"2","0","134","326117","97.12128362435111","52.97500000000001"
"1","0","140","132753","96.28915662650603","51.87500000000001"
"3","0","139","436237","96.76153091265947","50.949999999999996"
"4","10","136","875930","96.21570482497634","52.849999999999994"
"2","0","135","326117","97.24988146040778","52.725"
"1","0","141","132753","96.46660212971926","51.65"
"3","0","140","436237","96.88888888888889","50.625"
"4","10","137","875930","96.29101283880172","52.575"
"2","0","136","326117","97.2407231208373","52.55"
"1","0","142","132753","96.59533073929961","51.4"
"3","0","141","436237","96.9727047146402","50.375"
"4","10","138","875930","96.31755141080822","52.275000000000006"
