"BehaviorSpace results (NetLogo 3D 6.1.0)"
"ABM-working-10-stochastic.nlogo3D"
"NinaExploPerturbDiffMean"
"01/25/2022 12:10:13:656 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","gui-diff-mean","[step]","getSeed","getViability","getRemainingCellRatio"
"4","24","122","439708","92.45202558635395","58.62500000000001"
"2","0","125","599540","88.61855670103093","60.62499999999999"
"3","0","123","140233","88.01955990220048","61.35"
"1","0","124","769495","90.17929910350449","61.35"
"2","0","126","599540","88.58560794044665","60.45"
"4","24","123","439708","92.52775405636208","58.550000000000004"
"3","0","124","140233","87.98037612428455","61.150000000000006"
"1","0","125","769495","89.91836734693878","61.25000000000001"
"4","24","124","439708","92.33732876712328","58.4"
"2","0","127","599540","88.56669428334715","60.35"
"3","0","125","140233","87.82287822878229","60.975"
"1","0","126","769495","89.97545008183306","61.1"
"2","0","128","599540","88.34508502695977","60.275"
"4","24","125","439708","92.26804123711341","58.199999999999996"
"3","0","126","140233","87.68472906403942","60.9"
"1","0","127","769495","89.6311475409836","61"
"3","0","127","140233","87.56689995883079","60.724999999999994"
"4","24","126","439708","92.06896551724138","57.99999999999999"
"2","0","129","599540","88.02992518703242","60.150000000000006"
"1","0","128","769495","89.32676518883416","60.9"
"4","24","127","439708","91.792656587473","57.875"
"2","0","130","599540","88.2770129328327","59.925"
"3","0","128","140233","87.34020618556701","60.62499999999999"
"1","0","129","769495","89.26809210526315","60.8"
"4","24","128","439708","91.59809441316588","57.725"
"2","0","131","599540","88.04847471792728","59.824999999999996"
"3","0","129","140233","87.1847871021083","60.475"
"1","0","130","769495","88.90721649484536","60.62499999999999"
"4","24","129","439708","91.57620495006513","57.574999999999996"
"2","0","132","599540","87.86102971954793","59.724999999999994"
"3","0","130","140233","87.30290456431536","60.25"
"2","0","133","599540","87.87751677852349","59.599999999999994"
"4","24","130","439708","91.58307893589185","57.325"
"1","0","131","769495","88.87050062060405","60.425"
"3","0","131","140233","87.06322795341099","60.099999999999994"
"1","0","132","769495","88.7738193869097","60.35"
"2","0","134","599540","87.66261015526648","59.575"
"4","24","131","439708","91.34236991692173","57.175"
"3","0","132","140233","86.95833333333334","60"
"2","0","135","599540","87.63146823727388","59.425"
"1","0","133","769495","88.72305140961856","60.3"
"4","24","132","439708","91.1364633611233","56.974999999999994"
"3","0","133","140233","87.0091896407686","59.85"
"2","0","136","599540","87.65276021913189","59.325"
"4","24","133","439708","91.2373403786878","56.775"
"1","0","134","769495","88.85191347753744","60.099999999999994"
"3","0","134","140233","86.98200083717036","59.724999999999994"
"2","0","137","599540","87.63191219924018","59.22500000000001"
"1","0","135","769495","88.70833333333333","60"
"4","24","134","439708","91.16217410517012","56.574999999999996"
"3","0","135","140233","87.00588730025231","59.45"
"2","0","138","599540","87.60050782903089","59.075"
"1","0","136","769495","88.51294903926484","59.85"
"4","24","135","439708","90.78830823737822","56.45"
"3","0","136","140233","87.0777027027027","59.199999999999996"
"2","0","139","599540","87.39388794567063","58.9"
"4","24","136","439708","90.56269384138237","56.425000000000004"
"3","0","137","140233","87.27735368956743","58.95"
"1","0","137","769495","88.12212463404433","59.775"
"2","0","140","599540","87.11734693877551","58.8"
"4","24","137","439708","90.63055062166963","56.3"
"1","0","138","769495","87.97653958944281","59.675"
"3","0","138","140233","87.24489795918367","58.8"
"2","0","141","599540","87.05128205128206","58.5"
"4","24","138","439708","90.17777777777778","56.25"
"1","0","139","769495","88.01009676062263","59.425"
"3","0","139","140233","87.24946695095949","58.62500000000001"
"2","0","142","599540","86.98630136986301","58.4"
