"BehaviorSpace results (NetLogo 3D 6.1.0)"
"ABM-working-10-stochastic.nlogo3D"
"NinaExploPerturbNLCProtection"
"01/25/2022 11:17:10:001 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","gui-alpha","[step]","getSeed","getViability","getRemainingCellRatio"
"4","10","57","612836","79.5","95"
"3","0","58","481802","79.595056534315","95.075"
"1","0","57","154471","78.69451697127937","95.75"
"2","0","59","144971","79.52506596306068","94.75"
"4","10","58","612836","79.30398101766411","94.825"
"3","0","59","481802","79.13157894736842","95"
"1","0","58","154471","78.44624640334816","95.575"
"2","0","60","144971","79.35500925191647","94.575"
"4","10","59","612836","78.98072352785846","94.675"
"3","0","60","481802","78.70492234798631","94.975"
"1","0","59","154471","78.1413612565445","95.5"
"2","0","61","144971","79.04635761589404","94.375"
"4","10","60","612836","78.76223221370007","94.525"
"3","0","61","481802","78.28722002635045","94.875"
"1","0","60","154471","77.73990561090719","95.35"
"2","0","62","144971","79.03268668615466","94.075"
"4","10","61","612836","78.6793953858393","94.27499999999999"
"3","0","62","481802","77.99472295514512","94.75"
"1","0","61","154471","77.38970588235294","95.19999999999999"
"2","0","63","144971","79.05117270788912","93.8"
"4","10","62","612836","78.36474648261216","94.175"
"3","0","63","481802","77.85714285714286","94.5"
"1","0","62","154471","77.09702866158295","95.075"
"2","0","64","144971","78.92065188351589","93.575"
"4","10","63","612836","78.13829787234042","94"
"3","0","64","481802","77.60402862443678","94.325"
"1","0","63","154471","76.72027418929606","94.825"
"2","0","65","144971","78.52366943032897","93.475"
"4","10","64","612836","77.89025039957379","93.85"
"3","0","65","481802","77.17016193257234","94.175"
"1","0","64","154471","76.39292315817269","94.675"
"2","0","66","144971","78.26902465166131","93.30000000000001"
"4","10","65","612836","77.64140875133404","93.7"
"3","0","66","481802","76.85554668794893","93.975"
"1","0","65","154471","76.13756613756614","94.5"
"2","0","67","144971","77.96564680622652","93.15"
"4","10","66","612836","77.26422655623831","93.575"
"3","0","67","481802","76.59914712153518","93.8"
"1","0","66","154471","75.98091198303287","94.3"
"2","0","68","144971","77.8554152109648","93.025"
"4","10","67","612836","77.02196036422067","93.35"
"3","0","68","481802","76.37626937466595","93.55"
"2","0","69","144971","77.47237941255726","92.77499999999999"
"1","0","67","154471","75.78332448220924","94.15"
"4","10","68","612836","76.78475577026302","93.15"
"3","0","69","481802","76.42646664880793","93.325"
"2","0","70","144971","77.27641178059984","92.525"
"1","0","68","154471","75.69222577209797","93.89999999999999"
"4","10","69","612836","76.6003227541689","92.95"
"3","0","70","481802","76.25436007512745","93.175"
"2","0","71","144971","76.81277056277057","92.4"
"1","0","69","154471","75.36735239113011","93.575"
"4","10","70","612836","76.39450282942603","92.77499999999999"
"3","0","71","481802","75.92791823561055","92.95"
"2","0","72","144971","76.82496607869741","92.125"
"1","0","70","154471","75.36193029490616","93.25"
"4","10","71","612836","76.33856138453218","92.45"
"3","0","72","481802","75.72160776908552","92.675"
"2","0","73","144971","76.6721044045677","91.95"
"1","0","71","154471","75.44378698224851","92.95"
"4","10","72","612836","76.13882863340564","92.2"
"3","0","73","481802","75.62229437229438","92.4"
"2","0","74","144971","76.5058599073317","91.725"
"1","0","72","154471","75.26330002700513","92.575"
"4","10","73","612836","75.93800978792822","91.95"
"3","0","74","481802","75.55012224938875","92.025"
"2","0","75","144971","76.36612021857924","91.5"
"1","0","73","154471","75.24377031419284","92.30000000000001"
"4","10","74","612836","75.88652482269504","91.64999999999999"
"3","0","75","481802","75.6004366812227","91.60000000000001"
"2","0","76","144971","76.28328300850947","91.07499999999999"
"1","0","74","154471","75.02717391304347","92"
"3","0","76","481802","75.5281207133059","91.125"
"4","10","75","612836","75.94520547945206","91.25"
"2","0","77","144971","76.2114537444934","90.8"
"1","0","75","154471","74.95908346972176","91.64999999999999"
"3","0","77","481802","75.48209366391184","90.75"
"4","10","76","612836","75.74339207048459","90.8"
"2","0","78","144971","76.09958506224066","90.375"
"3","0","78","481802","75.38716814159292","90.4"
"1","0","76","154471","74.73972602739725","91.25"
"4","10","77","612836","75.71230982019364","90.375"
"2","0","79","144971","76.07003891050583","89.95"
"3","0","79","481802","75.2990264255911","89.875"
"1","0","77","154471","74.57347275729224","90.85"
"4","10","78","612836","75.5","90"
"2","0","80","144971","76.00558659217877","89.5"
"3","0","80","481802","75.3919372900336","89.3"
"1","0","78","154471","74.42695388014361","90.525"
"4","10","79","612836","75.46748534747418","89.575"
"2","0","81","144971","76.01797247964055","89.025"
"3","0","81","481802","75.45095828635851","88.7"
"1","0","79","154471","74.23738214087632","90.14999999999999"
"2","0","82","144971","76.13668455238634","88.52499999999999"
"4","10","80","612836","75.3859107493685","89.075"
"3","0","82","481802","75.63120567375886","88.125"
"1","0","80","154471","74.24115845168477","89.775"
"2","0","83","144971","76.35691957942598","87.97500000000001"
"4","10","81","612836","75.699350098898","88.47500000000001"
"3","0","83","481802","75.72815533980582","87.55"
"1","0","81","154471","74.27211646136618","89.3"
"2","0","84","144971","76.56652360515022","87.375"
"4","10","82","612836","75.61807331628303","87.97500000000001"
"3","0","84","481802","76.02187679907887","86.85000000000001"
"1","0","82","154471","74.46448703494927","88.7"
"2","0","85","144971","76.73010380622839","86.7"
"4","10","83","612836","75.78706353749286","87.35000000000001"
"3","0","85","481802","76.26921961125616","86.175"
"1","0","83","154471","74.54648526077098","88.2"
"2","0","86","144971","76.85830429732869","86.1"
"4","10","84","612836","75.82829155862864","86.775"
"3","0","86","481802","76.30886224042118","85.475"
"1","0","84","154471","74.85714285714286","87.5"
"2","0","87","144971","76.83533196841181","85.475"
"4","10","85","612836","76.11030478955007","86.125"
"3","0","87","481802","76.67552406259226","84.675"
"1","0","85","154471","74.97840483731643","86.825"
"2","0","88","144971","76.8777614138439","84.875"
"4","10","86","612836","76.4327485380117","85.5"
"3","0","88","481802","77.10196779964222","83.85000000000001"
"2","0","89","144971","76.8933768933769","84.175"
"1","0","86","154471","75.29753265602322","86.125"
"3","0","89","481802","77.42032471437162","83.15"
"4","10","87","612836","76.67354762606901","84.775"
"2","0","90","144971","77.17879604672058","83.475"
"1","0","87","154471","75.36571094207139","85.45"
"3","0","90","481802","77.85194174757282","82.39999999999999"
"4","10","88","612836","76.83397683397683","84.175"
"2","0","91","144971","77.51891074130106","82.625"
"1","0","88","154471","75.56801416347005","84.725"
"3","0","91","481802","78.1182960465829","81.575"
"4","10","89","612836","76.95300808141276","83.525"
"2","0","92","144971","77.84229828850856","81.8"
"1","0","89","154471","75.77380952380952","84"
"3","0","92","481802","78.7372330547818","80.77499999999999"
"4","10","90","612836","77.2576260948354","82.775"
"2","0","93","144971","78.20710973724884","80.875"
"1","0","90","154471","76.34505560565074","83.175"
"3","0","93","481802","79.36210131332082","79.95"
"4","10","91","612836","77.52740560292327","82.1"
"2","0","94","144971","78.64290181363353","79.95"
"1","0","91","154471","76.71523982999393","82.35"
"3","0","94","481802","79.60214714240607","79.175"
"4","10","92","612836","77.79141104294479","81.5"
"2","0","95","144971","79.03888713246917","79.07499999999999"
"1","0","92","154471","76.9773145309626","81.55"
"3","0","95","481802","79.90430622009569","78.375"
"4","10","93","612836","78.01176834933415","80.72500000000001"
"2","0","96","144971","79.62903741605373","78.175"
"1","0","93","154471","77.41635687732342","80.7"
"3","0","96","481802","80.43828553013212","77.575"
"4","10","94","612836","78.11816192560175","79.975"
"2","0","97","144971","80.20058233581365","77.275"
"1","0","94","154471","77.57272442915233","79.925"
"3","0","97","481802","80.72916666666666","76.8"
"4","10","95","612836","78.59848484848484","79.2"
"2","0","98","144971","80.75286415711948","76.375"
"1","0","95","154471","78.01642451042325","79.14999999999999"
"3","0","98","481802","81.24383020730504","75.97500000000001"
"4","10","96","612836","79.10685805422646","78.375"
"2","0","99","144971","81.45936981757878","75.375"
"1","0","96","154471","78.74519846350833","78.10000000000001"
"3","0","99","481802","81.74550299800133","75.05"
"4","10","97","612836","79.58722992583039","77.525"
"2","0","100","144971","81.96170641585489","74.425"
"1","0","97","154471","79.08560311284046","77.10000000000001"
"3","0","100","481802","82.21250840618696","74.35000000000001"
"4","10","98","612836","80.0978792822186","76.625"
"2","0","101","144971","82.86784741144415","73.4"
"1","0","98","154471","79.72395662175484","76.075"
"3","0","101","481802","82.62639972853749","73.675"
"4","10","99","612836","80.44840092317838","75.825"
"2","0","102","144971","83.6614853195164","72.375"
