apoCellsMovementProba,needSigCellsMvtProba,layersAroundNLC,alpha,monoPhagoEff,NLCPhagoEff,M2PhagoEff,M2KillEff,cllSensingDistance,monocyteSensingDistance,nlcSensingDistance,macrophageSensingDistance,nLCThreshold,signalInitMean,signalInitStd,diffTime,diffTimeStd,fitnessVia,fitnessConc,evolution$samples
10,9,1,38,1,9,9,0,3,1,1,3,138,56,8,89,14,68.49469212727135,1261.3355254837002,100.0
10,9,1,38,1,9,9,0,3,1,1,3,138,56,8,89,14,68.49469212727135,1309.6985304837006,100.0
9,4,1,38,1,10,8,0,3,1,1,3,138,56,11,89,14,68.53945161950665,1399.8590694837005,100.0
9,4,1,38,1,10,8,0,3,1,1,3,138,56,11,89,14,68.53945161950665,1391.7715974837006,100.0
10,6,1,38,1,9,10,0,3,1,1,3,138,56,8,89,14,68.54052490122335,1353.9813274837002,100.0
10,6,1,38,1,9,10,0,3,1,1,3,138,56,8,89,14,68.54052490122335,1355.4435824836999,100.0
10,10,1,38,1,10,8,0,3,1,1,3,138,56,2,89,19,68.54367525183173,1256.8376034837006,100.0
10,10,1,38,1,10,8,0,3,1,1,3,138,56,2,89,19,68.54367525183173,1255.4923634837005,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,68.60254562027535,1226.5841054837,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,68.60254562027535,1237.2842734837006,100.0
10,9,1,38,1,10,8,0,3,1,1,3,138,56,2,89,19,68.6148482186959,1221.2094844837002,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,68.64246426343131,1239.1341104837002,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,68.64246426343131,1254.3852114837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,68.65299638198455,1374.3541554837002,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,68.65299638198455,1372.5200104837006,100.0
10,9,1,38,1,10,8,1,3,1,1,3,138,56,11,89,14,68.73146040686285,1452.0319774837005,100.0
10,9,1,38,1,10,8,1,3,1,1,3,138,56,11,89,14,68.73146040686285,1447.4721184837006,100.0
10,9,1,38,1,10,8,1,3,1,1,3,138,56,11,89,14,68.73146040686285,1439.4568534837,100.0
10,9,1,38,1,10,8,1,3,1,1,3,138,56,11,89,14,68.73146040686285,1438.5512204837,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,68.77432306450851,1202.4888804836999,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,68.77432306450851,1207.0618434837002,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,68.77432306450851,1215.3884864837005,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,68.77432306450851,1216.1975274837005,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,68.77432306450851,1221.2555134837005,100.0
10,9,1,38,1,9,9,0,3,1,1,3,138,56,8,89,14,68.78937350619918,1279.3398144837,100.0
10,9,1,38,1,9,9,0,3,1,1,3,138,56,8,89,14,68.78937350619918,1261.3355254837002,100.0
10,9,1,38,1,9,9,0,3,1,1,3,138,56,8,89,14,68.78937350619918,1309.6985304837006,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,68.82447041601316,1414.6525884837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,68.82447041601316,1406.0390654837,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,68.82686749197592,1264.0369584837006,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,68.82686749197592,1280.9267504837005,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,68.82686749197592,1257.0616334837005,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,68.82686749197592,1261.9586694837005,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,68.82686749197592,1288.2122244836999,100.0
10,9,1,38,1,10,8,0,3,1,1,3,138,56,11,89,14,68.87619345209268,1262.7903134837006,100.0
10,9,1,38,1,10,8,0,3,1,1,3,138,56,11,89,14,68.87619345209268,1266.9024144837006,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,68.90920610227312,1390.1028254837006,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,68.90920610227312,1384.4351834837005,100.0
9,9,1,38,1,10,8,0,3,1,1,3,138,56,11,89,14,69.00821383848854,1294.2541114837,100.0
9,9,1,38,1,10,8,0,3,1,1,3,138,56,11,89,14,69.00821383848854,1297.5483964837006,100.0
10,9,1,38,1,10,8,1,3,1,1,3,138,56,11,89,14,69.01052920531633,1438.5512204837,100.0
10,9,1,38,1,10,8,1,3,1,1,3,138,56,11,89,14,69.01052920531633,1447.4721184837006,100.0
10,9,1,38,1,10,8,1,3,1,1,3,138,56,11,89,14,69.01052920531633,1444.6797634836998,100.0
10,9,1,38,1,10,8,1,3,1,1,3,138,56,11,89,14,69.01052920531633,1439.4568534837,100.0
10,9,1,38,1,10,8,1,3,1,1,3,138,56,11,89,14,69.01052920531633,1427.2352684836999,100.0
10,9,1,38,1,10,8,1,3,1,1,3,138,56,11,89,14,69.01909224465535,1427.2352684836999,100.0
10,9,1,38,1,10,8,1,3,1,1,3,138,56,11,89,14,69.01909224465535,1439.4568534837,100.0
10,10,1,38,1,10,8,0,3,1,1,3,138,56,2,89,19,69.03865850360803,1236.0679044837002,100.0
10,10,1,38,1,10,8,0,3,1,1,3,138,56,2,89,19,69.03865850360803,1231.3541834837,100.0
10,6,1,38,1,9,10,0,3,1,1,3,138,56,8,89,14,69.07851260624179,1353.9813274837002,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,69.0848599995584,1215.1352814837,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,69.0848599995584,1212.2493514837,100.0
10,6,1,38,1,9,10,0,3,1,1,3,138,56,8,89,14,69.08780773630528,1353.9813274837002,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,69.09393784373165,1247.5013314837,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,69.09393784373165,1249.5372184837006,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,69.09393784373165,1248.0145574837002,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,69.09393784373165,1254.3852114837,100.0
