delta_fitness_via,delta_fitness_conc, apo, needSig, layers, alpha, monoPhago, NLCPhago, MPhago, MKill, cllDist, MonoDist, nlcDist, macroDist, nlcThreshold, signalInitMean, signalInitStd, diffTime, diffInitStd
378.6334642808365,249.2678474837,3, 8, 1, 49, 1, 8, 8, 0, 3, 1, 2, 2, 103, 92, 0, 53, 1
388.85978167628235,246.5484014837,4, 10, 1, 49, 1, 10, 4, 4, 3, 1, 2, 2, 103, 93, 14, 50, 2
392.2254136778325,246.22480048370002,4, 10, 1, 49, 1, 10, 4, 4, 3, 1, 2, 2, 103, 93, 14, 50, 2
408.3866482522863,245.83191048370003,7, 10, 1, 49, 1, 8, 5, 0, 3, 1, 2, 2, 103, 93, 12, 50, 2
860.0279857441658,244.9908434837001,2, 8, 2, 49, 1, 0, 9, 0, 3, 1, 1, 3, 138, 75, 48, 53, 5
867.4618788828111,244.70679648370012,2, 8, 2, 49, 1, 0, 9, 0, 3, 1, 1, 3, 138, 75, 48, 53, 5
881.3801044661623,240.2871684837,10, 9, 2, 47, 1, 0, 6, 1, 3, 2, 1, 3, 138, 73, 40, 54, 4
893.3957557354147,239.7370794837,10, 9, 2, 47, 1, 0, 6, 1, 3, 2, 1, 3, 138, 73, 40, 54, 4
919.7231675853537,239.64633248369995,10, 9, 2, 47, 1, 0, 6, 1, 3, 2, 1, 3, 138, 73, 40, 54, 4
delta_fitness_via,delta_fitness_conc, apo, needSig, layers, alpha, monoPhago, NLCPhago, MPhago, MKill, cllDist, MonoDist, nlcDist, macroDist, nlcThreshold, signalInitMean, signalInitStd, diffTime, diffInitStd
62.073022890657064,1359.2492544837,10.0,6.0,1.0,38.0,1.0,9.0,10.0,0.0,3.0,1.0,1.0,3.0,138.0,56.0,8.0,89.0,14.0
63.66622903364843,1223.3714204837,10.0,9.0,1.0,49.0,1.0,8.0,9.0,0.0,3.0,1.0,1.0,3.0,138.0,56.0,8.0,89.0,18.0
67.41332659038392,1212.2493514837,10.0,9.0,1.0,50.0,1.0,9.0,9.0,0.0,3.0,1.0,1.0,3.0,138.0,56.0,8.0,89.0,18.0
67.88882586190098,1208.0510214837002,10.0,9.0,1.0,49.0,1.0,8.0,9.0,0.0,3.0,1.0,1.0,3.0,138.0,56.0,8.0,89.0,18.0
68.46661657471029,1144.9048884837002,10.0,9.0,1.0,38.0,1.0,10.0,8.0,0.0,3.0,1.0,1.0,3.0,138.0,56.0,11.0,88.0,19.0
71.91573161115379,1116.5792424837,10.0,9.0,1.0,49.0,1.0,8.0,9.0,0.0,3.0,1.0,1.0,3.0,132.0,56.0,24.0,89.0,18.0
72.02808660585849,1112.3078254836998,10.0,9.0,1.0,49.0,1.0,8.0,9.0,0.0,3.0,1.0,1.0,3.0,132.0,56.0,24.0,89.0,18.0
72.67907837379136,1111.6807674837005,10.0,10.0,1.0,38.0,1.0,9.0,8.0,0.0,3.0,1.0,1.0,3.0,138.0,56.0,8.0,89.0,23.0
73.71845605237853,1106.4190264837002,10.0,10.0,1.0,38.0,1.0,9.0,8.0,0.0,3.0,1.0,1.0,3.0,138.0,56.0,8.0,89.0,23.0
76.31813566565972,1085.3429754837002,10.0,9.0,1.0,49.0,1.0,8.0,9.0,0.0,3.0,1.0,1.0,3.0,132.0,56.0,24.0,89.0,18.0
76.75384399317447,1080.2328094836998,10.0,10.0,1.0,38.0,1.0,9.0,8.0,0.0,3.0,1.0,1.0,3.0,138.0,56.0,33.0,89.0,23.0
80.67838228263126,957.5689684836999,10.0,9.0,1.0,38.0,1.0,10.0,10.0,0.0,3.0,1.0,1.0,3.0,118.0,56.0,48.0,89.0,19.0
83.64888527776291,950.6734754836999,10.0,9.0,1.0,38.0,1.0,10.0,10.0,0.0,3.0,1.0,1.0,3.0,118.0,56.0,48.0,89.0,19.0
85.66808675123309,930.1332284837002,10.0,9.0,1.0,38.0,1.0,10.0,10.0,0.0,3.0,1.0,1.0,3.0,118.0,56.0,48.0,89.0,19.0
86.84370108940209,918.6170794837003,10.0,9.0,1.0,38.0,1.0,10.0,10.0,0.0,3.0,1.0,1.0,3.0,118.0,56.0,48.0,89.0,19.0
87.64820205638699,903.3279124837003,10.0,9.0,1.0,42.0,1.0,9.0,10.0,0.0,3.0,1.0,1.0,3.0,118.0,56.0,48.0,89.0,19.0
88.4214204357184,902.0842864837005,10.0,9.0,1.0,38.0,1.0,10.0,10.0,0.0,3.0,1.0,1.0,3.0,118.0,56.0,48.0,89.0,19.0
89.06868574359258,892.3579684837,10.0,9.0,1.0,38.0,1.0,10.0,10.0,0.0,3.0,1.0,1.0,3.0,118.0,56.0,48.0,89.0,19.0
89.28299370130219,827.6827964836999,10.0,9.0,1.0,38.0,1.0,10.0,10.0,0.0,3.0,1.0,1.0,3.0,103.0,56.0,48.0,89.0,19.0
89.73040049259684,821.6820494837002,10.0,9.0,1.0,38.0,1.0,10.0,10.0,0.0,3.0,1.0,1.0,3.0,103.0,56.0,48.0,89.0,19.0
89.85800889179731,740.6534824836999,10.0,9.0,1.0,49.0,1.0,10.0,10.0,0.0,3.0,1.0,1.0,3.0,138.0,80.0,48.0,83.0,19.0
90.07523614812693,734.2230944837003,10.0,9.0,1.0,49.0,1.0,10.0,10.0,0.0,3.0,1.0,1.0,3.0,138.0,80.0,48.0,83.0,19.0
97.58615957264757,732.6804654837001,10.0,9.0,1.0,49.0,1.0,10.0,10.0,0.0,3.0,1.0,1.0,3.0,138.0,80.0,48.0,83.0,19.0
102.47697075945543,723.5653294837,10.0,9.0,1.0,49.0,1.0,10.0,10.0,0.0,3.0,1.0,1.0,3.0,138.0,80.0,48.0,83.0,19.0
102.83984850758124,717.5510114837002,10.0,9.0,1.0,49.0,1.0,10.0,10.0,0.0,3.0,1.0,1.0,3.0,138.0,80.0,48.0,83.0,19.0
110.13074156658901,612.5321634837001,2.0,9.0,2.0,24.0,0.0,9.0,3.0,0.0,1.0,1.0,2.0,1.0,113.0,98.0,20.0,53.0,5.0
113.0599730413688,605.5049884837001,2.0,9.0,2.0,24.0,0.0,9.0,3.0,0.0,1.0,1.0,2.0,1.0,113.0,98.0,20.0,53.0,5.0
118.21793632933,603.7790484837001,2.0,9.0,2.0,24.0,0.0,9.0,3.0,0.0,1.0,1.0,2.0,1.0,113.0,98.0,20.0,53.0,5.0
118.54897061590971,599.8480444837,4.0,10.0,1.0,40.0,0.0,8.0,1.0,5.0,1.0,2.0,2.0,1.0,104.0,85.0,6.0,51.0,14.0
119.56037823270307,596.5384984837002,4.0,10.0,1.0,40.0,0.0,8.0,1.0,5.0,1.0,2.0,2.0,1.0,104.0,85.0,6.0,51.0,14.0
