apoCellsMovementProba,needSigCellsMvtProba,layersAroundNLC,antiApoBoost,monoPhagoEff,nlcPhagoEff,macroPhagoEff,macroKillEff,cllSensingDistance,monocyteSensingDistance,nlcSensingDistance,macrophageSensingDistance,nlcThreshold,signalInitMean,signalInitStd,monoDiffThreshold,monoDiffTimeStd,gammaLifeInitRate,gammaLifeInitShape,fitnessVia,fitnessConc,evolution$samples
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,616.4885204873133,540.8800000000001,51.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,616.4885204873133,540.8800000000001,55.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,616.4885204873133,540.0999999999997,57.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,616.4885204873133,540.8800000000001,53.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,619.7183700767919,539.7349999999998,58.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,619.7183700767919,544.2950000000001,74.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,619.7183700767919,540.5300000000001,68.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,619.7183700767919,540.4899999999999,56.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,619.7183700767919,544.2950000000001,50.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,619.7183700767919,540.5300000000001,70.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,619.7183700767919,540.4899999999999,54.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,622.9482196662703,547.71,75.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,622.9482196662703,540.1800000000001,67.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,622.9482196662703,540.1800000000001,69.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,622.9482196662703,540.8800000000001,79.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,622.9482196662703,540.0999999999997,59.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,622.9482196662703,540.1800000000001,65.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,622.9482196662703,540.8800000000001,71.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,622.9482196662703,547.71,73.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,624.1086987462324,544.2950000000001,78.0
